R_fighter,B_fighter,date,Winner,title_bout,weight_class,no_of_rounds,B_avg_BODY_landed,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SUB_ATT,B_avg_TD_landed,B_losses,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Stance,B_Height_cms,B_Reach_cms,R_avg_BODY_landed,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SUB_ATT,R_avg_TD_landed,R_losses,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Stance,R_Height_cms,R_Reach_cms,B_age,R_age
Bevon Lewis,Darren Stewart,6/8/2019,Blue,FALSE,Middleweight,3,4.142857143,17.42857143,0.285714286,2.571428571,0.285714286,0,0,1,5,0,0,0,0,2,0,0,Orthodox,182.88,187.96,4,27,0,37,0,0,0,0,1,0,0,0,0,0,0,0,Orthodox,190.5,200.66,28,28
Eddie Wineland,Grigorii Popov,6/8/2019,Red,FALSE,Bantamweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Switch,170.18,172.72,6.666666667,27.08333333,0.5,2,0.25,0,0,0.166666667,7,1,0,1,0,4,0,0,Orthodox,170.18,175.26,35,34
Katlyn Chookagian,Joanne Calderwood,6/8/2019,Red,FALSE,Women Flyweight,3,13,29,0.375,19.375,1.25,0.25,0.5,1.125,3,0,0,0,3,1,1,0,Orthodox,167.64,165.1,13.33333333,37.16666667,0.166666667,10.66666667,0,0,0.166666667,0,2,0,0,1,3,0,0,0,Orthodox,175.26,172.72,33,30
Alexander Gustafsson,Anthony Smith,6/1/2019,Blue,FALSE,Light Heavyweight,5,6.181818182,23.27272727,0.454545455,3.727272727,0.454545455,0.181818182,0.363636364,0.363636364,4,1,0,0,1,5,1,0,Orthodox,193.04,193.04,6.6,32.26666667,0.6,5.333333333,1.133333333,0,0.333333333,1.2,5,3,0,0,3,5,2,0,Orthodox,195.58,200.66,30,32
Jimi Manuwa,Aleksandar Rakic,6/1/2019,Blue,FALSE,Light Heavyweight,3,8.333333333,40.66666667,0.666666667,11.33333333,1.333333333,0,0,1,0,0,0,0,2,1,0,0,Orthodox,193.04,198.12,7.272727273,10.72727273,0.272727273,8.090909091,0.090909091,0,0.181818182,0.272727273,5,0,0,0,1,3,0,2,Orthodox,185.42,200.66,27,39
Makwan Amirkhani,Chris Fishgold,6/1/2019,Red,FALSE,Featherweight,3,1,13.5,0,2.5,2.5,0,1,3,1,0,0,0,0,0,1,0,Orthodox,172.72,172.72,0.8,15.4,0.2,0.2,3.2,0.8,1,2.4,1,0,0,1,1,1,1,0,Southpaw,177.8,182.88,26,30
Damir Hadzovic,Christos Giagos,6/1/2019,Blue,FALSE,Lightweight,3,4.2,14.8,0,0.8,1,0.4,0.2,1.2,3,0,0,0,1,0,1,0,Orthodox,177.8,180.34,7.2,24.4,0.4,3.2,0.6,0,0.2,0.4,2,0,0,1,0,2,0,0,Orthodox,175.26,177.8,29,32
Daniel Teymur,Sung Bin Jo,6/1/2019,Red,FALSE,Featherweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,5,21,0,15,0.333333333,0,0,0.333333333,3,0,0,0,0,0,0,0,Orthodox,165.1,175.26,26,31
Rostem Akman,Sergey Khandozhko,6/1/2019,Blue,FALSE,Welterweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Switch,177.8,182.88,27,27
Tonya Evinger,Lina Lansberg,6/1/2019,Blue,FALSE,Women Bantamweight,3,22.2,16.4,0,5,0,0,0.2,0.4,3,0,0,0,2,0,0,0,Orthodox,170.18,165.1,7.5,7.5,0,5.5,0,0,0,0.5,2,1,0,0,0,0,0,0,Orthodox,170.18,177.8,37,37
Stevie Ray,Leonardo Santos,6/1/2019,Blue,FALSE,Lightweight,3,5.166666667,15,0.166666667,5,1.833333333,0,0.333333333,0.833333333,1,1,0,1,1,1,2,0,Orthodox,182.88,190.5,5.111111111,24.55555556,0.111111111,10.55555556,0.888888889,0,0.555555556,0.555555556,3,0,1,1,2,2,0,0,Southpaw,177.8,177.8,39,29
Nick Hein,Frank Camacho,6/1/2019,Blue,FALSE,Lightweight,3,17.66666667,76.33333333,0,1,1.333333333,0.666666667,0,1.333333333,2,0,0,1,0,0,0,0,Orthodox,177.8,185.42,5.571428571,24,0.285714286,4.571428571,0.714285714,0.142857143,0,0.714285714,3,0,0,0,4,0,0,0,Southpaw,167.64,167.64,30,35
Bea Malecki,Duda Santana,6/1/2019,Red,FALSE,Women Bantamweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,170.18,185.42,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,175.26,187.96,23,27
Darko Stosic,Devin Clark,6/1/2019,Blue,FALSE,Light Heavyweight,3,7.166666667,22.5,0.333333333,5.833333333,1.833333333,0,0.166666667,2.166666667,3,0,0,0,3,0,0,0,Orthodox,182.88,190.5,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Orthodox,182.88,193.04,29,27
Joel Alvarez,Danilo Belluardo,6/1/2019,Red,FALSE,Lightweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Southpaw,182.88,187.96,5,26,0,7,0,0,0,0,1,0,0,0,0,0,0,0,Orthodox,190.5,195.58,24,25
Rafael Dos Anjos,Kevin Lee,5/18/2019,Red,FALSE,Welterweight,5,9.714285714,38.14285714,0,1.214285714,3.214285714,0.071428571,0.785714286,2.5,4,1,0,1,3,1,4,1,Orthodox,175.26,195.58,10.92307692,27.30769231,0.192307692,9.692307692,1.5,0.076923077,0.615384615,1.730769231,9,4,0,0,10,4,3,0,Southpaw,172.72,177.8,26,34
Antonio Carlos Junior,Ian Heinisch,5/18/2019,Blue,FALSE,Middleweight,3,10,38,1,7,1,0,2,1,0,0,0,0,1,0,0,0,Orthodox,180.34,182.88,4.666666667,15.22222222,0,3.111111111,2.555555556,0.111111111,0.666666667,2.777777778,3,1,0,0,2,0,4,0,Orthodox,187.96,200.66,30,29
Megan Anderson,Felicia Spencer,5/18/2019,Blue,FALSE,Women Featherweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,6,8.5,0,0,0,0.5,0,0,1,0,0,0,0,1,0,0,Orthodox,182.88,182.88,28,29
Vicente Luque,Derrick Krantz,5/18/2019,Red,FALSE,Welterweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,5,26.7,0.6,7.1,0.8,0.1,0.6,0.6,2,0,0,0,0,5,3,0,Orthodox,180.34,190.5,31,27
Charles Oliveira,Nik Lentz,5/18/2019,Red,FALSE,Lightweight,3,10.59090909,26.86363636,0.090909091,6.454545455,2.454545455,0.045454545,1.090909091,3,8,0,0,2,7,3,2,0,Orthodox,172.72,172.72,5.739130435,11.13043478,0.086956522,3.695652174,1.347826087,0.130434783,1.260869565,1.304347826,9,0,0,0,1,0,13,0,Orthodox,177.8,187.96,34,29
Davi Ramos,Austin Hubbard,5/18/2019,Red,FALSE,Lightweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,3.25,19.5,0,2.25,2.25,0,0.75,1.75,1,0,0,0,0,0,3,0,Orthodox,167.64,177.8,27,32
Aspen Ladd,Sijara Eubanks,5/18/2019,Red,FALSE,Women Bantamweight,3,11,47.5,0.5,7.5,2,0,0,2.5,0,0,0,0,2,0,0,0,?,162.56,170.18,7,31,0,0,1.5,0,0,0.5,0,0,0,0,0,2,0,0,Orthodox,167.64,167.64,34,24
Desmond Green,Charles Jourdain,5/18/2019,Red,FALSE,Lightweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Switch,175.26,175.26,7.833333333,29.33333333,0.166666667,7.166666667,0.166666667,0,0,1,3,0,0,1,1,1,0,0,Southpaw,177.8,185.42,23,29
Danny Roberts,Michel Pereira,5/18/2019,Blue,FALSE,Welterweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,5.75,20.25,0.25,4.875,0.75,0.375,0.25,0,3,0,0,1,1,2,1,0,Southpaw,185.42,187.96,25,31
Michael Trizano,Grant Dawson,5/18/2019,Blue,FALSE,Featherweight,3,2,48,0,7,5,0,1,6,0,0,0,0,1,0,0,0,Switch,177.8,182.88,8.5,17,0,21,1,0.5,1,0.5,0,1,0,2,0,0,0,0,Orthodox,180.34,180.34,25,27
Patrick Cummins,Ed Herman,5/18/2019,Blue,FALSE,Light Heavyweight,3,7.952380952,18.9047619,0.142857143,2.857142857,1.714285714,0.238095238,0.761904762,1.523809524,11,1,0,1,2,3,4,0,Orthodox,185.42,195.58,4.25,32.33333333,0,3.083333333,1.666666667,0,0.083333333,2.833333333,6,0,0,1,3,2,0,0,Orthodox,187.96,193.04,38,38
Zak Cummings,Trevin Giles,5/18/2019,Red,FALSE,Middleweight,3,6,48,0.5,1.5,3,0,0,2.5,0,0,0,0,0,2,0,0,Orthodox,182.88,187.96,5.4,17.9,0.3,5.6,1,0.1,0.6,0.7,3,0,0,0,3,1,3,0,Southpaw,182.88,190.5,26,34
Julio Arce,Julian Erosa,5/18/2019,Red,FALSE,Featherweight,3,11.75,18.25,0,2.5,0.5,0,0.75,0.75,3,0,0,1,0,0,0,0,Southpaw,185.42,187.96,13.66666667,37.66666667,0,2,0.666666667,0,1,0.333333333,1,0,0,0,1,0,1,0,Southpaw,170.18,177.8,29,29
Rose Namajunas,Jessica Andrade,5/11/2019,Blue,TRUE,Women Strawweight,5,18.28571429,50.07142857,0.142857143,4.5,2.428571429,0.071428571,0.357142857,2.357142857,4,1,0,1,5,2,2,0,Orthodox,154.94,157.48,8,36.375,0.25,3.25,2.5,0.125,0.75,2,2,3,0,0,2,1,3,0,Orthodox,165.1,165.1,27,26
Jared Cannonier,Anderson Silva,5/11/2019,Red,FALSE,Middleweight,3,6.956521739,18.7826087,0.782608696,7.782608696,0.130434783,0.043478261,0.260869565,0.130434783,6,13,0,0,3,11,3,0,Southpaw,187.96,195.58,3.125,25.25,0.25,4,0.375,0,0,0.125,4,0,0,0,1,3,0,0,Switch,180.34,195.58,44,35
Jose Aldo,Alexander Volkanovski,5/11/2019,Blue,FALSE,Featherweight,3,8.833333333,51.16666667,0.666666667,12,2.333333333,0.166666667,0.5,2.666666667,0,0,0,0,3,3,0,0,Orthodox,167.64,180.34,7,40.61538462,0.307692308,6.692307692,0.923076923,0,0.230769231,0.923076923,3,11,0,0,6,4,0,0,Orthodox,170.18,177.8,30,32
Thiago Alves,Laureano Staropoli,5/11/2019,Blue,FALSE,Welterweight,3,15,71,0,11,0,0,0,0,0,0,0,0,1,0,0,0,Orthodox,185.42,180.34,5.68,21.4,0.52,14.32,0.92,0.08,0.24,0.52,10,1,0,1,5,7,1,1,Orthodox,175.26,177.8,26,35
Irene Aldana,Bethe Correia,5/11/2019,Red,FALSE,Women Bantamweight,3,10.125,29.75,0,10.875,0.25,0.25,0,0.375,4,1,0,2,1,1,0,0,Orthodox,165.1,162.56,9.5,67,0,18.75,1.5,0.75,0,0.5,2,0,0,1,1,0,0,0,Orthodox,175.26,172.72,35,31
Rogerio Nogueira,Ryan Spann,5/11/2019,Blue,FALSE,Light Heavyweight,3,8,38,0,0,5,1,1,0,0,0,0,0,1,0,0,0,Orthodox,195.58,200.66,5.181818182,19.72727273,0.363636364,1.363636364,0.181818182,0.272727273,0.181818182,0.090909091,5,0,0,1,1,4,0,0,Southpaw,187.96,190.5,27,42
Thiago Moises,Kurt Holobaugh,5/11/2019,Red,FALSE,Lightweight,3,9,38.33333333,0.333333333,7.333333333,0,0,0.666666667,0.666666667,3,0,0,0,0,0,0,0,Orthodox,180.34,177.8,3,5,0,0,0,0,4,0,1,0,0,0,0,0,0,0,Orthodox,175.26,177.8,32,24
Warlley Alves,Sergio Moraes,5/11/2019,Red,FALSE,Welterweight,3,5.25,23,0.083333333,1.916666667,1.666666667,0,0.416666667,1.083333333,4,1,0,2,2,1,3,0,Orthodox,182.88,182.88,8.333333333,18.44444444,0.111111111,4.777777778,0.777777778,0,0.666666667,0.888888889,3,1,0,0,2,0,3,1,Orthodox,180.34,182.88,36,28
BJ Penn,Clay Guida,5/11/2019,Blue,FALSE,Lightweight,3,4.076923077,17.57692308,0.230769231,6.5,1.961538462,0.038461538,0.538461538,2.423076923,12,0,0,3,5,2,4,0,Orthodox,170.18,177.8,5.923076923,27.96153846,0.269230769,2.076923077,1.692307692,0.038461538,0.461538462,1,14,11,0,0,1,6,4,1,Orthodox,175.26,177.8,37,40
Luana Carolina,Priscila Cachoeira,5/11/2019,Red,FALSE,Women Flyweight,3,7.5,28,0,3,0,0,0,0,2,0,0,0,0,0,0,0,Orthodox,170.18,165.1,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,167.64,175.26,30,25
Raoni Barcelos,Carlos Huachin,5/11/2019,Red,FALSE,Bantamweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Southpaw,162.56,170.18,2.5,54.5,0.5,1.5,2,0,0.5,2.5,0,0,0,0,0,1,1,0,Orthodox,170.18,170.18,22,32
Talita Bernardo,Viviane Araujo,5/11/2019,Blue,FALSE,Women Bantamweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,162.56,172.72,5.333333333,26,0,11.33333333,3,0.666666667,0.666666667,2,2,0,0,0,1,0,0,0,Orthodox,162.56,172.72,32,32
Al Iaquinta,Donald Cerrone,5/4/2019,Blue,FALSE,Lightweight,5,11.13333333,21.13333333,0.6,11.46666667,0.966666667,0.1,0.366666667,0.7,8,1,0,0,6,10,6,0,Orthodox,185.42,185.42,9.333333333,37.16666667,0.583333333,6.583333333,0.5,0,0.25,0.666666667,3,2,0,1,4,4,0,0,Orthodox,177.8,177.8,36,32
Derek Brunson,Elias Theodorou,5/4/2019,Red,FALSE,Middleweight,3,18.4,26.3,0,13.2,0.5,0.3,0,1.3,2,1,0,1,5,2,0,0,Orthodox,185.42,190.5,1.214285714,14.07142857,0.357142857,3.214285714,1,0,0.214285714,0.928571429,5,0,0,0,2,6,1,0,Southpaw,185.42,195.58,30,35
Cub Swanson,Shane Burgos,5/4/2019,Blue,FALSE,Featherweight,3,11.6,52.6,1,7.4,0.4,0,0.2,0.4,1,0,0,0,2,1,1,0,Orthodox,180.34,190.5,12.3125,37.4375,0.375,11.9375,0.875,0.0625,0.125,0.6875,6,0,0,0,6,4,0,0,Orthodox,172.72,177.8,28,35
Brad Katona,Merab Dvalishvili,5/4/2019,Blue,FALSE,Bantamweight,3,7.666666667,42.33333333,0.333333333,6.666666667,1.333333333,0,0,7.333333333,2,0,0,0,1,0,0,0,Orthodox,167.64,172.72,10,41,0,22.5,1.5,0,0,1,0,1,0,0,2,0,0,0,Orthodox,167.64,162.56,28,27
Walt Harris,Serghei Spivac,5/4/2019,Red,FALSE,Heavyweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,190.5,198.12,5.363636364,13.90909091,0.545454545,1.818181818,0.363636364,0,0.090909091,0.181818182,7,0,0,0,0,4,0,0,Southpaw,195.58,195.58,24,35
Marc-Andre Barriault,Andrew Sanchez,5/4/2019,Blue,FALSE,Middleweight,3,10.8,51.8,0.4,4.8,1.6,0,0,2.6,2,1,0,0,3,0,0,0,Orthodox,185.42,187.96,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,31,29
Macy Chiasson,Sarah Moras,5/4/2019,Red,FALSE,Women Bantamweight,3,2,19.8,0,1.4,1,0.2,0.8,0.8,3,0,0,0,1,0,1,0,?,170.18,170.18,10.5,13,1,1,1,0,1,0,0,1,0,0,0,1,1,0,?,180.34,182.88,31,27
Aiemann Zahabi,Vince Morales,5/4/2019,Blue,FALSE,Bantamweight,3,14,52,0,8,0,0,0,0,1,0,0,0,0,0,0,0,Orthodox,170.18,177.8,5.5,38.5,0.5,1,0.5,0.5,0,0,1,0,0,0,1,0,0,0,Orthodox,172.72,172.72,28,31
Nordine Taleb,Kyle Prepolec,5/4/2019,Red,FALSE,Welterweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Southpaw,177.8,177.8,7.9,18.5,0.2,9.3,1.1,0.1,0,1.6,4,0,0,1,3,2,0,0,Orthodox,185.42,187.96,29,37
Kyle Nelson,Matt Sayles,5/4/2019,Blue,FALSE,Featherweight,3,23,39,0,15,0,0,0,0,1,0,0,0,0,0,0,0,Orthodox,170.18,172.72,6,12,0,2,0,0,0,0,1,0,0,0,0,0,0,0,Switch,180.34,180.34,25,28
Arjan Bhullar,Juan Adams,5/4/2019,Red,FALSE,Heavyweight,3,8,74,0,4,4,0,0,2,0,0,0,0,0,1,0,0,Orthodox,195.58,203.2,1.666666667,24,0.333333333,1,0.666666667,0,0,1.333333333,1,0,0,0,2,0,0,0,Orthodox,185.42,190.5,27,32
Mitch Gagnon,Cole Smith,5/4/2019,Blue,FALSE,Bantamweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,180.34,170.18,7.142857143,18.14285714,0.285714286,3.285714286,0.571428571,0.142857143,1.142857143,0.857142857,3,0,0,0,1,0,3,0,Southpaw,165.1,165.1,30,34
Jacare Souza,Jack Hermansson,4/27/2019,Blue,FALSE,Middleweight,5,3.875,20.875,0,6.125,2,0,0.375,1,2,0,0,0,1,3,2,0,Orthodox,185.42,195.58,6.916666667,18,0.25,1.916666667,2.25,0.166666667,0.666666667,1.083333333,3,0,0,0,1,4,4,0,Orthodox,185.42,182.88,30,39
Greg Hardy,Dmitrii Smoliakov,4/27/2019,Red,FALSE,Heavyweight,3,3.5,5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,Switch,187.96,187.96,5,21,0,3,0,0,0,0,1,0,0,0,0,0,0,0,Orthodox,195.58,203.2,36,30
Alex Oliveira,Mike Perry,4/27/2019,Blue,FALSE,Welterweight,3,6.444444444,25.77777778,0.777777778,8.222222222,1.111111111,0,0,0.555555556,4,0,0,1,0,4,0,0,Orthodox,177.8,180.34,6.857142857,16.5,0.357142857,3.5,1.357142857,0.071428571,0.5,1.857142857,5,0,0,0,2,4,3,0,Orthodox,180.34,193.04,27,31
Glover Teixeira,Ion Cutelaba,4/27/2019,Red,FALSE,Light Heavyweight,3,10.2,28.6,0.2,3.8,0.6,0,0,1.2,2,0,0,0,1,2,0,0,Southpaw,185.42,190.5,3.875,26.375,0.25,0.1875,2.5,0.0625,0.5,1.3125,5,1,0,0,2,4,4,1,Orthodox,187.96,193.04,25,39
John Lineker,Cory Sandhagen,4/27/2019,Blue,FALSE,Bantamweight,3,8.333333333,40.33333333,0.666666667,5.666666667,1.666666667,0.333333333,0.666666667,0.666666667,0,0,0,0,0,2,1,0,Switch,180.34,177.8,21.4,33.66666667,0.8,5.2,0.266666667,0.066666667,0.466666667,0.4,3,0,0,1,4,6,1,0,Orthodox,160.02,170.18,27,28
Roosevelt Roberts,Thomas Gifford,4/27/2019,Red,FALSE,Lightweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,185.42,190.5,4,10,0,2,0,0,1,0,0,0,0,0,0,0,1,0,Orthodox,187.96,185.42,26,25
Ben Saunders,Takashi Sato,4/27/2019,Blue,FALSE,Welterweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Southpaw,177.8,185.42,9.647058824,13.41176471,0.176470588,2.117647059,0.294117647,0,0.529411765,0.117647059,8,0,0,1,2,3,3,0,Orthodox,187.96,195.58,28,36
Andrei Arlovski,Augusto Sakai,4/27/2019,Blue,FALSE,Heavyweight,3,21,81,0,9,1,0,0,1,0,0,0,0,0,1,0,0,Orthodox,190.5,195.58,4.571428571,15.25,0.357142857,6.928571429,0.214285714,0.035714286,0.178571429,0.321428571,12,5,0,1,4,9,2,0,Orthodox,190.5,195.58,27,40
Carla Esparza,Virna Jandiroba,4/27/2019,Red,FALSE,Women Strawweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,160.02,162.56,4.714285714,20.71428571,0,3.571428571,2.142857143,0.285714286,0.428571429,2.714285714,4,2,0,0,2,0,1,0,?,154.94,160.02,30,31
Gilbert Burns,Mike Davis,4/27/2019,Red,FALSE,Lightweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,7.7,19.6,0.3,4.4,1.6,0,0.5,1.6,3,0,0,0,2,2,3,0,Orthodox,177.8,180.34,26,32
Jim Miller,Jason Gonzalez,4/27/2019,Red,FALSE,Lightweight,3,2.333333333,8.666666667,0,1,0,0,0.333333333,0,2,0,0,0,0,0,1,0,Southpaw,187.96,187.96,6.032258065,16.90322581,0.096774194,5.64516129,1.387096774,0.161290323,1.290322581,1.161290323,13,0,0,2,6,3,7,0,Southpaw,172.72,180.34,29,35
Angela Hill,Jodie Esquibel,4/27/2019,Red,FALSE,Women Strawweight,3,22,45.5,0,5.5,0,0,0,0,2,0,0,0,0,0,0,0,Orthodox,154.94,162.56,16.55555556,41.11111111,0.222222222,11.88888889,0.111111111,0.111111111,0,0.333333333,6,0,0,0,3,0,0,0,Orthodox,160.02,162.56,32,34
Court McGee,Dhiego Lima,4/27/2019,Blue,FALSE,Welterweight,3,1.428571429,13.28571429,0.285714286,0.714285714,1.285714286,0,0.571428571,0.857142857,5,2,0,0,1,1,0,0,Orthodox,187.96,187.96,12.71428571,36.71428571,0.071428571,14.35714286,1.5,0.071428571,0.428571429,1.785714286,6,1,0,1,5,0,2,0,Orthodox,180.34,190.5,30,34
Alistair Overeem,Aleksei Oleinik,4/20/2019,Red,FALSE,Heavyweight,5,3.875,11.5,0.25,1.875,1.25,0.125,1,1.125,2,0,0,0,0,1,5,0,Orthodox,187.96,203.2,11.53333333,13.4,0.533333333,4.533333333,0.2,0,0.2,0.266666667,6,1,1,0,2,6,0,0,Orthodox,193.04,203.2,41,38
Islam Makhachev,Arman Tsarukyan,4/20/2019,Red,FALSE,Lightweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,170.18,182.88,3.333333333,13.16666667,0.166666667,0.333333333,4,0.333333333,0.666666667,2.166666667,1,0,0,0,2,1,2,0,Orthodox,177.8,177.8,22,27
Sergei Pavlovich,Marcelo Golm,4/20/2019,Red,FALSE,Heavyweight,3,8,29.66666667,0,8,0.666666667,0,0.333333333,0.333333333,2,0,0,0,0,0,1,0,Orthodox,190.5,190.5,3,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Southpaw,190.5,213.36,26,26
Roxanne Modafferi,Antonina Shevchenko,4/20/2019,Red,FALSE,Women Flyweight,3,18,41,0,7,1,0,0,2,0,0,0,0,1,0,0,0,Southpaw,172.72,170.18,6.25,52.75,0,4.25,1.5,0,0.25,1,3,1,0,0,0,1,0,0,?,170.18,175.26,34,36
